session,total_revenue,avg_fare,trip_count,avg_distance
Night,50642284.350001104,12.267938774022383,4128019,3.114628762609835
Daytime,43488910.41000032,11.688386739140686,3720694,2.591450691725792
Evening Rush,32395139.479999788,11.442100986040234,2831223,2.599177532112434
Morning Rush,18345818.959999923,11.553990505304663,1587834,2.5703455902821224
Early Morning,5356492.53000001,13.71876688436422,390450,3.860112178255857
